sample_id,cell_type,firre_ko,firre_induced,timepoint,replicate,experiment_replicate,timecourse_length,date_sequenced,sample_name,raw_data_read1,raw_data_read2,raw_data_read1_file_name,raw_data_read2_file_name,md5_read1,md5_read2
JR2415,ESC,KO,firre_induced,0,1,1,short,2019-03,JR2415_ESC_KO_firre_induced_0_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2415_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2415_read2.fastq.gz,JR2415_read1.fastq.gz,JR2415_read2.fastq.gz,bad695d9c39194652c4b2164d2d3c4d5,a97516ce84f790ca80d5a54d9a636eaa
JR2416,ESC,KO,firre_induced,120,1,1,short,2019-03,JR2416_ESC_KO_firre_induced_120_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2416_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2416_read2.fastq.gz,JR2416_read1.fastq.gz,JR2416_read2.fastq.gz,cea4e6a581afbdc728dbae0ca06afeb5,8e079a8f1b9cd92869d5a2015d164f8c
JR2417,ESC,KO,firre_induced,90,1,1,short,2019-03,JR2417_ESC_KO_firre_induced_90_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2417_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2417_read2.fastq.gz,JR2417_read1.fastq.gz,JR2417_read2.fastq.gz,ce1fc9dfb289c29287972ce7a0efe81d,561efacc3c30c5b0d4167314dc7dcbf4
JR2418,ESC,KO,control,210,1,1,short,2019-03,JR2418_ESC_KO_control_210_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2418_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2418_read2.fastq.gz,JR2418_read1.fastq.gz,JR2418_read2.fastq.gz,9a8dc095a27e696db1cede2c3a9ab253,e9384eebb2fc6d0da0476debc869aff7
JR2419,ESC,KO,control,60,1,1,short,2019-03,JR2419_ESC_KO_control_60_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2419_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2419_read2.fastq.gz,JR2419_read1.fastq.gz,JR2419_read2.fastq.gz,232445d63d3a34c6b2f320c1318d1ab9,5809dee3ef71de541e25895776339a4c
JR2420,ESC,KO,control,0,1,1,short,2019-03,JR2420_ESC_KO_control_0_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2420_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2420_read2.fastq.gz,JR2420_read1.fastq.gz,JR2420_read2.fastq.gz,4530a20f4f3da58cf1d37af599c7d8fe,c87d473cd89d317f35409e9e4c1730a5
JR2421,ESC,KO,control,300,1,1,short,2019-03,JR2421_ESC_KO_control_300_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2421_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2421_read2.fastq.gz,JR2421_read1.fastq.gz,JR2421_read2.fastq.gz,c7c7e5052bfd8a762194090436292276,0febd4ab0d74fba79427b950ddad4d21
JR2422,ESC,KO,control,120,1,1,short,2019-03,JR2422_ESC_KO_control_120_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2422_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2422_read2.fastq.gz,JR2422_read1.fastq.gz,JR2422_read2.fastq.gz,bc3b313a7d6d11c6d97dd11f6df74007,ca86fc9996ed9596d756f160d47dd90b
JR2423,ESC,KO,control,30,1,1,short,2019-03,JR2423_ESC_KO_control_30_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2423_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2423_read2.fastq.gz,JR2423_read1.fastq.gz,JR2423_read2.fastq.gz,2d524913c7bbf17b090b40ea06b0f073,ba217b81d10866911f6b2cb7ce5814b0
JR2424,ESC,KO,firre_induced,300,1,1,short,2019-03,JR2424_ESC_KO_firre_induced_300_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2424_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2424_read2.fastq.gz,JR2424_read1.fastq.gz,JR2424_read2.fastq.gz,1ae37a6772fa98e5c189ab497650815f,1091a7d8bb33da7cd86b979cf472fce6
JR2425,ESC,KO,firre_induced,150,1,1,short,2019-03,JR2425_ESC_KO_firre_induced_150_rep1,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2425_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2425_read2.fastq.gz,JR2425_read1.fastq.gz,JR2425_read2.fastq.gz,5543e6c2a29aeefcbc012a7e852c6069,1e190f4635efdaf8ff45e94e1aa8ddba
