sample_id,cell_type,genotype,firre_ko,contains_itg,firre_induced,timepoint,replicate,sample_name,experiment
JR2446,mESCs,Firre KO,KO,TRUE,FALSE,90m,2,Firre KOiTg1 90-2,short
JR2445,mESCs,Firre KO,KO,TRUE,FALSE,120m,2,Firre KOiTg1 120-2,short
JR2444,mESCs,Firre KO,KO,TRUE,FALSE,150m,2,Firre KOiTg1 150-2,short
JR2432,mESCs,Firre KO,KO,TRUE,FALSE,180m,2,Firre KOiTg1 180-2,short
JR2442,mESCs,Firre KO,KO,TRUE,FALSE,210m,2,Firre KOiTg1 210-2,short
JR2430,mESCs,Firre KO,KO,TRUE,FALSE,240m,2,Firre KOiTg1 240-2,short
JR2431,mESCs,Firre KO,KO,TRUE,FALSE,270m,2,Firre KOiTg1 270-2,short
JR2433,mESCs,Firre KO,KO,TRUE,FALSE,300m,2,Firre KOiTg1 300-2,short
JR2434,mESCs,Firre KO,KO,TRUE,FALSE,330m,2,Firre KOiTg1 330-2,short
JR2415,mESCs,Firre KOiTg,KO,TRUE,TRUE,0m,1,Firre KOiTg2 0-1,short
JR2413,mESCs,Firre KOiTg,KO,TRUE,TRUE,30m,1,Firre KOiTg2 30-1,short
JR2427,mESCs,Firre KOiTg,KO,TRUE,TRUE,60m,1,Firre KOiTg2 60-1,short
JR2417,mESCs,Firre KOiTg,KO,TRUE,TRUE,90m,1,Firre KOiTg2 90-1,short
JR2416,mESCs,Firre KOiTg,KO,TRUE,TRUE,120m,1,Firre KOiTg2 120-1,short
JR2425,mESCs,Firre KOiTg,KO,TRUE,TRUE,150m,1,Firre KOiTg2 150-1,short
JR2429,mESCs,Firre KOiTg,KO,TRUE,TRUE,180m,1,Firre KOiTg2 180-1,short
JR2412,mESCs,Firre KOiTg,KO,TRUE,TRUE,210m,1,Firre KOiTg 210-1,short
JR2426,mESCs,Firre KOiTg,KO,TRUE,TRUE,240m,1,Firre KOiTg2 240-1,short
JR2428,mESCs,Firre KOiTg,KO,TRUE,TRUE,270m,1,Firre KOiTg2 270-1,short
JR2424,mESCs,Firre KOiTg,KO,TRUE,TRUE,300m,1,Firre KOiTg2 300-1,short
JR2414,mESCs,Firre KOiTg,KO,TRUE,TRUE,330m,1,Firre KOiTg2 330-1,short
JR2437,mESCs,Firre KOiTg,KO,TRUE,TRUE,0m,2,Firre KOiTg2 0-2,short
JR2440,mESCs,Firre KOiTg,KO,TRUE,TRUE,30m,2,Firre KOiTg2 30-2,short
JR2438,mESCs,Firre KOiTg,KO,TRUE,TRUE,60m,2,Firre KOiTg2 60-2,short
JR2453,mESCs,Firre KOiTg,KO,TRUE,TRUE,90m,2,Firre KOiTg2 90-2,short
JR2439,mESCs,Firre KOiTg,KO,TRUE,TRUE,120m,2,Firre KOiTg2 120-2,short
JR2450,mESCs,Firre KOiTg,KO,TRUE,TRUE,150m,2,Firre KOiTg2 150-2,short
JR2441,mESCs,Firre KOiTg,KO,TRUE,TRUE,180m,2,Firre KOiTg2 180-2,short
JR2449,mESCs,Firre KOiTg,KO,TRUE,TRUE,210m,2,Firre KOiTg2 210-2,short
JR2436,mESCs,Firre KOiTg,KO,TRUE,TRUE,240m,2,Firre KOiTg2 240-2,short
JR2451,mESCs,Firre KOiTg,KO,TRUE,TRUE,270m,2,Firre KOiTg2 270-2,short
JR2448,mESCs,Firre KOiTg,KO,TRUE,TRUE,300m,2,Firre KOiTg2 300-2,short
JR2452,mESCs,Firre KOiTg,KO,TRUE,TRUE,330m,2,Firre KOiTg2 330-2,short
JR2492,pMEFs,Firre WT,WT,TRUE,FALSE,0m,1,Firre WTiTg1 0-1,short
JR2503,pMEFs,Firre WT,WT,TRUE,FALSE,30m,1,Firre WTiTg1 30-1,short
JR2497,pMEFs,Firre WT,WT,TRUE,FALSE,60m,1,Firre WTiTg1 60-1,short
JR2495,pMEFs,Firre WT,WT,TRUE,FALSE,90m,1,Firre WTiTg1 90-1,short
JR2499,pMEFs,Firre WT,WT,TRUE,FALSE,120m,1,Firre WTiTg1 120-1,short
JR2500,pMEFs,Firre WT,WT,TRUE,FALSE,150m,1,Firre WTiTg1 150-1,short
JR2498,pMEFs,Firre WT,WT,TRUE,FALSE,180m,1,Firre WTiTg1 180-1,short
JR2496,pMEFs,Firre WT,WT,TRUE,FALSE,210m,1,Firre WTiTg1 210-1,short
JR2501,pMEFs,Firre WT,WT,TRUE,FALSE,240m,1,Firre WTiTg1 240-1,short
JR2502,pMEFs,Firre WT,WT,TRUE,FALSE,270m,1,Firre WTiTg1 270-1,short
JR2493,pMEFs,Firre WT,WT,TRUE,FALSE,300m,1,Firre WTiTg1 300-1,short
JR2494,pMEFs,Firre WT,WT,TRUE,FALSE,330m,1,Firre WTiTg1 330-1,short
JR2515,pMEFs,Firre KOiTg,KO,TRUE,TRUE,0m,1,Firre KOiTg1 0-1,short
JR2514,pMEFs,Firre KOiTg,KO,TRUE,TRUE,30m,1,Firre KOiTg1 30-1,short
JR2513,pMEFs,Firre KOiTg,KO,TRUE,TRUE,60m,1,Firre KOiTg1 60-1,short
JR2512,pMEFs,Firre KOiTg,KO,TRUE,TRUE,90m,1,Firre KOiTg1 90-1,short
JR2504,pMEFs,Firre KOiTg,KO,TRUE,TRUE,120m,1,Firre KOiTg1 120-1,short
JR2509,pMEFs,Firre KOiTg,KO,TRUE,TRUE,150m,1,Firre KOiTg1 150-1,short
JR2506,pMEFs,Firre KOiTg,KO,TRUE,TRUE,180m,1,Firre KOiTg1 180-1,short
